date,open,high,low,close,volume,Symbol,Name,Industry
2018-02-07,31.12,31.74,30.86,31.25,101180515,BAC,Bank of America,Banks
2018-01-02,42.35,42.68,42.02,42.68,5073077,CFG,Citizens Financial Group,Banks
2018-01-03,42.57,43.29,42.44,43.17,6281163,CFG,Citizens Financial Group,Banks
2018-01-04,43.58,44.33,43.39,43.68,6740119,CFG,Citizens Financial Group,Banks
2018-01-05,43.89,44.24,43.65,43.88,7315637,CFG,Citizens Financial Group,Banks
2018-01-08,43.8,44.27,43.63,44.06,4726294,CFG,Citizens Financial Group,Banks
2018-01-09,44.17,44.85,44.01,44.19,5434885,CFG,Citizens Financial Group,Banks
2018-01-10,44.34,45.46,44.28,44.9,2914691,CFG,Citizens Financial Group,Banks
2018-01-11,45.06,45.305,44.63,45.3,3292518,CFG,Citizens Financial Group,Banks
2018-01-12,45.61,45.79,45.29,45.52,2267382,CFG,Citizens Financial Group,Banks
2018-01-16,45.79,45.93,44.945,45.25,2981735,CFG,Citizens Financial Group,Banks
2018-01-17,45.52,46.01,44.83,45.84,3730342,CFG,Citizens Financial Group,Banks
2018-01-18,45.95,46.125,45.22,45.76,6065035,CFG,Citizens Financial Group,Banks
2018-01-19,46.14,47.32,45.64,46.82,7826160,CFG,Citizens Financial Group,Banks
2018-01-22,47.24,47.87,47.01,47.81,4196060,CFG,Citizens Financial Group,Banks
2018-01-23,47.69,48.14,47.3,47.87,3885892,CFG,Citizens Financial Group,Banks
2018-01-24,48.07,48.23,47.12,47.38,7287077,CFG,Citizens Financial Group,Banks
2018-01-25,47.6,47.6416,46.34,46.67,5613166,CFG,Citizens Financial Group,Banks
2018-01-26,46.8,47.015,46.41,46.95,3979409,CFG,Citizens Financial Group,Banks
2018-01-29,46.83,47.17,46.66,46.75,4266874,CFG,Citizens Financial Group,Banks
2018-01-30,46.41,46.95,46.155,46.17,3727498,CFG,Citizens Financial Group,Banks
2018-01-31,46.05,46.69,45.78,45.9,4150481,CFG,Citizens Financial Group,Banks
2018-02-01,45.91,46.85,45.76,46.81,6742859,CFG,Citizens Financial Group,Banks
2018-02-02,46.65,47.06,45.765,46.02,6066636,CFG,Citizens Financial Group,Banks
2018-02-05,45.08,46.245,43.57,43.68,5846091,CFG,Citizens Financial Group,Banks
2018-02-06,42.5,45.08,41.48,44.6,8299806,CFG,Citizens Financial Group,Banks
2018-02-07,44.33,45.39,43.7,44.84,6545971,CFG,Citizens Financial Group,Banks
2018-01-02,87.36,87.48,86.08,86.57,1053873,CMA,Comerica,Banks
2018-01-03,86.5,86.95,86.02,86.54,1228074,CMA,Comerica,Banks
2018-01-04,87.2,88.49,87.04,87.51,1349909,CMA,Comerica,Banks
2018-01-05,88.5,88.57,87.67,88.47,1296089,CMA,Comerica,Banks
2018-01-08,88.24,88.99,88.07,88.72,1385208,CMA,Comerica,Banks
2018-01-09,88.98,91.1,88.76,90.37,2006981,CMA,Comerica,Banks
2018-01-10,90.78,92.42,90.66,91.31,1374410,CMA,Comerica,Banks
2018-01-11,91.86,92.53,91.57,92.52,2038522,CMA,Comerica,Banks
2018-01-12,93.0,93.54,92.55,93.04,1623517,CMA,Comerica,Banks
2018-01-16,92.88,95.49,92.88,93.79,2376558,CMA,Comerica,Banks
2018-01-17,94.19,95.045,92.97,94.76,1845395,CMA,Comerica,Banks
2018-01-18,95.27,95.6,93.49,93.81,1303939,CMA,Comerica,Banks
2018-01-19,93.78,95.27,93.78,94.99,2508044,CMA,Comerica,Banks
2018-01-22,95.05,95.33,94.275,95.21,1883604,CMA,Comerica,Banks
2018-01-23,94.92,95.67,94.32,95.25,1502586,CMA,Comerica,Banks
2018-01-24,95.51,95.97,94.7501,95.53,1519723,CMA,Comerica,Banks
2018-01-25,95.7,95.92,94.36,94.7,1604086,CMA,Comerica,Banks
2018-01-26,95.05,95.88,94.56,95.81,1069371,CMA,Comerica,Banks
2018-01-29,95.45,96.53,95.09,95.15,899536,CMA,Comerica,Banks
2018-01-30,94.38,95.7,94.04,94.76,1005635,CMA,Comerica,Banks
2018-01-31,94.95,95.68,94.78,95.22,1084482,CMA,Comerica,Banks
2018-02-01,95.16,97.03,94.95,97.03,1239815,CMA,Comerica,Banks
2018-02-02,97.0,98.18,94.7384,94.96,1932682,CMA,Comerica,Banks
2018-02-05,93.48,95.06,90.3172,90.72,2090338,CMA,Comerica,Banks
2018-02-06,88.69,93.164,88.15,92.77,2115997,CMA,Comerica,Banks
2018-02-07,92.12,95.13,92.09,93.58,1911790,CMA,Comerica,Banks
