date,open,high,low,close,volume,Symbol,Name,Industry
2018-01-30,16.85,16.9058,16.395,16.54,11202261,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-31,16.59,16.69,16.31,16.4,12419364,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-02-01,16.4,16.88,16.32,16.79,13494780,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-02-02,16.66,16.93,16.52,16.65,13333953,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-02-05,16.53,16.65,15.65,15.66,15838108,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-02-06,15.27,15.815,14.96,15.73,16226797,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-02-07,15.67,15.785,15.33,15.56,13112576,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-02,21.18,21.33,21.0,21.32,6457331,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-03,21.31,21.5,21.24,21.37,5957671,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-04,21.4,21.64,21.33,21.53,7653851,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-05,21.61,21.77,21.2899,21.75,6750728,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-08,21.78,21.88,21.59,21.84,5769556,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-09,21.79,21.95,21.721,21.81,7859468,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-10,21.68,22.14,21.68,22.05,8443302,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-11,22.08,22.42,22.06,22.41,8356376,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-12,22.48,22.97,22.4535,22.92,8821758,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-16,23.05,23.11,22.745,22.88,9311601,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-17,22.7,23.49,22.66,23.46,11151454,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-18,23.43,23.57,23.25,23.29,12277345,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-19,23.43,23.79,23.42,23.7,11551429,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-22,23.68,23.96,23.53,23.85,9150775,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-23,23.43,23.86,23.36,23.81,7840088,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-24,23.89,23.998,23.54,23.66,6781488,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-25,23.77,23.835,23.3,23.32,7273801,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-26,23.54,23.92,23.54,23.91,8113265,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-29,24.1,24.1,23.71,23.81,7036466,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-30,23.64,23.76,23.285,23.44,7973395,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-31,23.56,23.74,23.29,23.32,13704678,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-02-01,23.22,23.475,23.14,23.3,7317603,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-02-02,23.08,23.19,22.47,22.48,9163108,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-02-05,22.32,22.56,21.28,21.29,13314217,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-02-06,20.65,21.49,20.01,21.43,20439878,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-02-07,21.36,21.525,21.0475,21.21,11838988,HPQ,HP Inc.,"Technology Hardware, Storage & Periph..."
2018-01-02,55.5,56.08,55.41,55.57,1386156,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-03,55.56,57.32,55.45,57.07,2406945,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-04,56.91,58.07,56.86,57.81,2711268,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-05,57.99,58.99,57.66,58.85,2347793,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-08,58.67,59.735,58.21,59.65,3281048,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-09,59.75,60.57,59.4,59.67,3062916,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-10,59.49,60.66,59.08,60.65,2021635,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-11,60.74,61.86,60.23,61.81,3558329,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-12,61.97,62.8,61.69,62.77,2510505,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-16,62.94,63.44,61.71,62.27,2769207,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-17,62.74,63.97,62.68,63.59,1807458,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-18,63.5,63.85,62.78,63.3,3294207,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-19,63.35,63.73,62.99,63.09,3420795,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-22,63.01,63.53,62.78,63.52,2796907,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-23,63.61,63.93,63.061,63.84,2419485,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-24,63.89,64.0599,62.15,62.93,2821544,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-25,63.56,63.69,62.42,62.49,1949999,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-26,62.96,63.41,62.72,63.34,3671649,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-29,63.26,63.49,62.68,62.8,2266877,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-30,62.31,62.7,61.375,62.31,1984802,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-31,62.69,63.22,61.14,61.5,2950302,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-02-01,61.37,62.37,61.14,62.16,3995490,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-02-02,61.53,62.0,60.17,60.22,1914342,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-02-05,59.48,60.16,56.75,56.81,3943504,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-02-06,55.79,58.43,53.86,58.14,3123374,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-02-07,57.68,58.72,57.22,57.63,2395719,NTAP,NetApp,"Technology Hardware, Storage & Periph..."
2018-01-02,42.35,43.14,41.91,42.93,2888378,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph..."
2018-01-03,42.93,43.15,42.48,42.85,3446064,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph..."
2018-01-04,42.87,43.23,41.97,42.64,2824993,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph..."
2018-01-05,42.84,42.99,42.44,42.94,2183179,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph..."
2018-01-08,48.78,49.7,45.62,46.0,23460829,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph..."
